127.0.0.1 - - [21/Mar/2023:08:36:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:37:06 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 500 19399
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:37:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:38:32 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:38:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:38:36 +0530] "GET /Hibernate/insert.jsp HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:39:11 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:39:11 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:39:19 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 500 3089
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:49:31 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:49:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:49:42 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:49:43 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:49:45 +0530] "GET /Hibernate/insert.jsp HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:50:39 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:50:39 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:50:42 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:50:54 +0530] "POST /Hibernate/StudentController1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:08:50:54 +0530] "GET /Hibernate/Show.jsp HTTP/1.1" 200 2086
