127.0.0.1 - - [09/Mar/2023:10:04:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 17078
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/jquery-3.0.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/plugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/img-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/img-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/about-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/img-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/play-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/quick-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/mail-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/call-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/fb-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/instagram-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/client-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/twitter-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:04:59 +0530] "GET /MyProject/images/linkedin-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:05:00 +0530] "GET /MyProject/images/banner-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:05:00 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:05:00 +0530] "GET /MyProject/images/blog-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:05:00 +0530] "GET /MyProject/images/footer-bg.png HTTP/1.1" 304 -
