0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:55:37 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:55:37 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:55:37 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:55:37 +0530] "GET /MyProject/img/fashion/fashion-header-bg-8.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:55:37 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "POST /MyProject/change-qty.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/cart.jsp HTTP/1.1" 200 13610
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/img/fashion/fashion-header-bg-8.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:57:43 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:42:40 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:42:40 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
