127.0.0.1 - - [13/Feb/2023:09:01:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:01:55 +0530] "GET /AdvanceJava/Module_4_Table.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:01:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:02:03 +0530] "GET /AdvanceJava/Module_4_Table.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:02:27 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:02:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:02:31 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:02:49 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:03:52 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:05:50 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:05:50 +0530] "GET /AdvanceJava/JS/Validation.js HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:06:00 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:06:45 +0530] "GET /AdvanceJava/StudentInformation.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:06:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:07:45 +0530] "GET /AdvanceJava/StudentInformation.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:08:07 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:08:07 +0530] "GET /AdvanceJava/JS/Validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:08:14 +0530] "GET /AdvanceJava/Module_4_Form.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Feb/2023:12:09:02 +0530] "GET /AdvanceJava/StudentInformation.jsp HTTP/1.1" 200 1298
