127.0.0.1 - - [10/Mar/2023:09:10:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:10:35 +0530] "GET /MyProject/seller-view-product.jsp HTTP/1.1" 500 2417
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:10:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:20 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 17078
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:20 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:20 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:20 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:21 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 17078
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:21 +0530] "GET /MyProject/images/fevicon.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:23 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 7274
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:23 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:23 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:23 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:23 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 7274
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:41 +0530] "POST /MyProject/UserController HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:41 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:41 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/seller-add-product.jsp HTTP/1.1" 200 14556
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:46 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/seller-add-product.jsp HTTP/1.1" 200 14556
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:41 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:45 +0530] "GET /MyProject/seller-add-product.jsp HTTP/1.1" 200 14556
